Id,SalePrice
2658,175156.80037487095
2718,157281.4828307703
2414,168016.01313778316
1989,127751.19537149492
625,183515.03833286426
333,102999.1466037934
1327,109976.3486531975
858,141284.38831872318
95,198285.49883685622
1568,169962.04057464047
2482,167808.8897277776
1364,145962.70325673913
2584,180855.95529238624
818,305848.96913116693
2673,170423.08983513463
2089,94110.95008431713
1297,177324.14720343717
790,129304.46443013047
2616,197419.46858415878
720,221775.5965441792
222,129048.69349679092
557,129337.1280405838
1148,197590.83614449104
2766,142159.53936744528
534,189641.88140288743
1452,113685.28688858898
630,119132.5787602767
2648,142443.12196994713
125,144209.0866416954
1904,79018.25680831891
1670,109850.34379406477
756,116725.94657126119
717,298140.63436961634
1032,142436.45053135505
852,222099.59260516148
1731,161814.73586899546
2639,125097.47386083446
2071,82439.91377024705
1267,77726.42384057793
1851,207445.18341401743
567,137808.06262377935
2439,216042.7703956744
1898,148908.26705351862
647,137067.07198808895
2256,220604.92910917214
979,100103.06861811064
1444,210744.76913593942
2485,116161.00572949622
157,119594.7051258572
88,127313.50385631196
2003,133360.76811449038
186,228681.40519024606
1425,283935.2972649884
2695,130800.79084020431
738,107299.20582421307
395,146418.89236968476
1353,197089.4438647957
1878,135114.06059356086
390,182760.63902898063
1456,237082.53646457774
1103,329496.464719624
1387,143490.64710451989
2070,135241.59361954153
1199,194248.23025822645
2479,169771.8748869441
501,327139.49412829685
2362,97678.71376138568
1718,179404.53680335567
2188,84912.66547363464
1483,123135.06876791905
2557,95207.13360816127
437,333757.8410237626
2224,195491.43194118253
1628,144385.9225850022
397,127585.83019668882
587,201932.35753140118
971,135500.43576018803
2611,152669.50142972893
1887,63337.62607821454
2399,338096.53937499906
2148,216552.6642190314
304,123163.58226480035
1997,126154.8193802434
2817,122374.41316994064
1431,170331.3211848168
427,372097.9914569751
263,119671.5260072255
598,173945.44214903275
2895,272012.6806561302
687,169626.22459094314
1822,124756.55387988855
2191,109252.33075510831
179,139077.2677798138
1009,202858.2206638485
2010,126191.24584676775
1991,153052.70189634257
1411,147364.66852641987
1721,257311.7442308212
1144,179330.32973643404
593,208082.15496888687
575,274915.98308612406
1249,189844.7157341268
1604,116720.63025715949
1064,478579.9971010933
1923,158636.15905941473
1988,93289.51373913852
2325,159521.8205566646
114,202045.99046134524
2700,208274.25902752305
217,93409.34551083315
343,186676.14568451277
386,246422.01624489913
2005,95458.41484838318
2908,121911.76053383588
1814,219363.9721208912
2446,537197.7884795028
208,152134.5982653018
1679,131287.32697447616
822,330915.48738988844
6,176719.39347197668
1781,426822.0783838204
2397,273517.6279261471
2340,304498.0783695262
1618,162084.92870567125
2843,120888.3421619817
1061,371614.9985751841
2786,113591.61813403104
1935,125715.08869950275
1341,115138.82516127556
521,311203.0825563204
2136,130204.93333425715
996,179322.677846283
227,141858.19247018226
135,145769.71167643522
1167,165156.0660267182
294,230634.59158276697
1776,208993.6839911398
540,175565.2669166377
1717,179404.53680335567
2303,109262.472799491
116,179240.81040017665
127,130695.17580069613
1371,148076.24455959827
1014,192794.4287588351
1507,65181.68427521175
702,168821.92007228133
750,190731.61385778568
261,138548.31208406054
1559,97622.31831516864
577,242261.67409696628
2812,201791.3463461497
2080,164147.5902453145
1368,122404.72786337047
2376,115101.85541208317
659,105806.80077961263
1235,131701.69588645909
332,93890.49226545832
1917,127619.27083311947
2094,259301.6313497405
1460,284857.56356236135
1471,189978.44217026376
1509,124225.01091545136
1922,128901.44460560443
433,494775.7303371762
460,261157.48840348131
1116,270040.0767461153
1137,160257.98815314058
53,175207.68069613338
2354,245876.53501981808
1475,213900.44137538178
1761,589096.6887097673
842,129576.7457205965
2739,158213.16941765638
2509,141258.9681492529
1007,204532.25215658726
2610,183449.29361102817
1952,96628.26005598149
2719,157725.35022722394
2921,102999.1466037934
1966,138760.2425258784
292,127971.93372405357
1204,217594.79163137978
1829,245463.17204010414
2419,173967.37847685954
391,168267.73240833657
798,122841.8447074957
481,176243.53188645458
193,212682.27859351216
555,127144.9882396708
899,81421.31201227198
2357,195263.67622426013
328,120653.55657193327
1356,113791.67588048094
1154,113624.63615201502
1730,162493.79558341688
2249,131725.7825829356
1119,263864.58356157644
2856,141080.16609103626
1394,131461.7495203634
2587,114723.59081740984
61,345239.48345503246
2661,243470.83993505233
2711,126114.5258029284
1147,179362.20235784902
757,127929.54566882804
2623,84267.50817409178
2378,164750.78216622787
1413,127404.30851095726
1722,226421.72832590726
1112,202047.15856124324
1623,182737.34856391122
1201,191142.70708040197
1513,117613.85128940095
957,261028.20853965232
1171,277815.84740339406
1145,200521.7896348429
2726,249338.56694698663
703,142505.33796647412
760,98338.2764423273
1964,127497.8682095379
2512,168688.74497916905
159,154119.40219340194
1281,182170.97856157937
468,162738.24735775398
290,123637.7772318465
665,114253.59178420028
1463,285742.1571349052
1792,234563.09847910632
923,140417.08864871785
500,279551.6163459336
1408,135785.98244243115
331,83996.95864473219
170,125876.43039936788
2192,99388.27869295608
2571,339810.90102991334
2314,158933.1426839748
2647,112181.56071754897
422,411661.81499141286
2457,350550.48840677633
1838,203137.73081683723
2805,254073.66833481382
1645,173892.75665865868
1711,309552.08608470275
2825,252428.00776408083
322,366544.4168237514
2103,288465.16089683893
342,124291.82155479671
600,106084.15931320899
488,189486.02565950944
1725,329641.8094167254
2246,259632.04551594795
2847,162838.72416693566
806,260829.5588378806
530,230442.9048327192
963,185504.13732999616
2678,95399.1584204427
171,95996.36889587628
2401,410203.19615891285
805,223156.8440520728
2259,204085.21233588457
1748,134969.30690060375
1361,150489.85929295144
1677,127602.73861075111
1406,155552.0580600286
2322,222548.64127891025
688,182756.4529706393
143,142371.28228499828
804,196782.25445032268
1214,176541.97443059788
2828,122565.4036531362
